5354, 1
4292, 2
4734, 3
2601, 3
5376, 2
6850, 3
9107, 4
192, 4
10197, 5
5411, 4
1778, 5
3021, 4
2752, 5
2411, 6
2439, 7
412, 6
10354, 6
5779, 5
2695, 6
797, 7
5472, 6
9560, 6
11961, 7
7696, 5
10635, 8
10862, 9
10093, 7
765, 8
6424, 6
9204, 7
4548, 4
6771, 7
104, 5
301, 7
11421, 10
1510, 8
5626, 7
2598, 8
8552, 6
3904, 5
5331, 4
6703, 8
9567, 8
2013, 7
11473, 11
11307, 11
8339, 7
11690, 12
2650, 7
4147, 6
10679, 10
8308, 8
7737, 9
2783, 6
9027, 7
5699, 8
2165, 8
1221, 9
9635, 9
4845, 5
9146, 8
8060, 10
8279, 11
7318, 6
9340, 8
8449, 8
7154, 7
1287, 10
2055, 9
10445, 9
3146, 6
6495, 9
7826, 11
1486, 11
5233, 6
10196, 8
3297, 7
1173, 10
6874, 8
10601, 10
11988, 8
4967, 7
3500, 8
1277, 11
406, 8
5067, 8
2198, 9
9807, 10
10118, 9
10160, 10
2205, 10
10996, 12
2979, 7
1342, 12
2978, 8
1383, 13
10903, 13
5365, 3
6661, 10
4345, 5
5354, 1
4292, 2
4734, 3
2601, 3
5376, 2
6850, 3
9107, 4
192, 4
10197, 5
5411, 4
1778, 5
3021, 4
2752, 5
2411, 6
2439, 7
412, 6
10354, 6
5779, 5
2695, 6
797, 7
5472, 6
9560, 6
11961, 7
7696, 5
10635, 8
10862, 9
10093, 7
765, 8
6424, 6
9204, 7
4548, 4
6771, 7
104, 5
301, 7
11421, 10
1510, 8
5626, 7
2598, 8
8552, 6
3904, 5
5331, 4
6703, 8
9567, 8
2013, 7
11473, 11
11307, 11
8339, 7
11690, 12
2650, 7
4147, 6
10679, 10
8308, 8
7737, 9
2783, 6
9027, 7
5699, 8
2165, 8
1221, 9
9635, 9
4845, 5
9146, 8
8060, 10
8279, 11
7318, 6
9340, 8
8449, 8
7154, 7
1287, 10
2055, 9
10445, 9
3146, 6
6495, 9
7826, 11
1486, 11
5233, 6
10196, 8
3297, 7
1173, 10
6874, 8
10601, 10
11988, 8
4967, 7
3500, 8
1277, 11
406, 8
5067, 8
2198, 9
9807, 10
10118, 9
10160, 10
2205, 10
10996, 12
2979, 7
1342, 12
2978, 8
1383, 13
10903, 13
5365, 3
6661, 10
4345, 5
5354, 1
4292, 2
4734, 3
10996, 2
2979, 3
1342, 4
2978, 5
1383, 6
10903, 3
5365, 4
6661, 5
4345, 4
